Title,Year,Runtime,Director,Genres,Rate,Votes
PK,2014,153 min,Rajkumar Hirani,"Comedy, Drama, Fantasy",8.1,146551.0
Historia de um Casamento,2019,137 min,Noah Baumbach,"Comedy, Drama, Romance",8.1,144802.0
Barry Lyndon,1975,185 min,Stanley Kubrick,"Adventure, Drama, History",8.1,138313.0
O Odio,1995,98 min,Mathieu Kassovitz,"Crime, Drama",8.1,136854.0
Rede de Intrigas,1976,121 min,Sidney Lumet,Drama,8.1,136340.0
Nausicaa do Vale do Vento,1984,117 min,Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,133661.0
Sindicato de Ladroes,1954,108 min,Elia Kazan,"Crime, Drama, Thriller",8.1,133160.0
"Rebecca, a Mulher Inesquecivel",1940,130 min,Alfred Hitchcock,"Drama, Mystery, Romance",8.1,114535.0
Memorias de um Assassino,2003,131 min,Bong Joon Ho,"Action, Crime, Drama",8.1,111680.0
Amor a Flor da Pele,2000,98 min,Kar-Wai Wong,"Drama, Romance",8.1,111638.0
A Mulher Faz o Homem,1939,129 min,Frank Capra,"Comedy, Drama",8.1,101123.0
Um Contratempo,2016,106 min,Oriol Paulo,"Crime, Mystery, Thriller",8.1,99348.0
Lagaan: Era uma Vez na India,2001,224 min,Ashutosh Gowariker,"Adventure, Drama, Musical",8.1,97160.0
Bahubali: O Inicio,2015,159 min,S.S. Rajamouli,"Action, Drama",8.1,96509.0
Os Incompreendidos,1959,99 min,François Truffaut,"Crime, Drama",8.1,96339.0
Tropa de Elite,2007,115 min,José Padilha,"Action, Crime, Drama",8.1,94233.0
Quando Duas Mulheres Pecam,1966,85 min,Ingmar Bergman,"Drama, Thriller",8.1,91916.0
A Criada,2016,145 min,Chan-wook Park,"Drama, Romance, Thriller",8.1,90424.0
Aconteceu Naquela Noite,1934,105 min,Frank Capra,"Comedy, Romance",8.1,87696.0
A Fraternidade e Vermelha,1994,99 min,Krzysztof Kieslowski,"Drama, Mystery, Romance",8.1,83347.0
"Paris, Texas",1984,145 min,Wim Wenders,Drama,8.1,79612.0
A General,1926,67 min,Clyde Bruckman,"Action, Adventure, Comedy",8.1,74743.0
Solaris,1972,167 min,Andrei Tarkovsky,"Drama, Mystery, Sci-Fi",8.1,73590.0
Pink Floyd - The Wall,1982,95 min,Alan Parker,"Animation, Drama, Fantasy",8.1,72540.0
Barfi!,2012,151 min,Anurag Basu,"Comedy, Drama, Romance",8.1,71118.0
A Wednesday,2008,104 min,Neeraj Pandey,"Crime, Drama, Mystery",8.1,70180.0
Munna Bhai M.B.B.S.,2003,156 min,Rajkumar Hirani,"Comedy, Drama, Musical",8.1,68320.0
O Homem que Matou o Facinora,1962,124 min,John Ford,"Drama, Western",8.1,64622.0
O Que o Coracao Deseja,2001,183 min,Farhan Akhtar,"Comedy, Drama, Romance",8.1,62959.0
Tres Amigos na Estrada,2011,155 min,Zoya Akhtar,"Comedy, Drama",8.1,61782.0
Dilwale Dulhania Le Jayenge,1995,189 min,Aditya Chopra,"Drama, Romance",8.1,59719.0
Amores Expressos,1994,102 min,Kar-Wai Wong,"Comedy, Crime, Drama",8.1,55902.0
A Lenda do Pianista do Mar,1998,169 min,Giuseppe Tornatore,"Drama, Music, Romance",8.1,55259.0
Kahaani,2012,122 min,Sujoy Ghosh,"Mystery, Thriller",8.1,53808.0
Fanny e Alexander,1982,188 min,Ingmar Bergman,Drama,8.1,53736.0
O Gabinete do Dr. Caligari,1920,76 min,Robert Wiene,"Fantasy, Horror, Mystery",8.1,52381.0
Underground - Mentiras de Guerra,1995,170 min,Emir Kusturica,"Comedy, Drama, War",8.1,52298.0
O Salario do Medo,1953,131 min,Henri-Georges Clouzot,"Adventure, Drama, Thriller",8.1,50333.0
A Batalha de Argel,1966,121 min,Gillo Pontecorvo,"Drama, War",8.1,49046.0
"Gata Preta, Gato Branco",1998,127 min,Emir Kusturica,"Comedy, Crime, Romance",8.1,48370.0
Haider,2014,160 min,Vishal Bhardwaj,"Action, Crime, Drama",8.1,47305.0
O que Tera Acontecido a Baby Jane?,1962,134 min,Robert Aldrich,"Drama, Horror, Thriller",8.1,46910.0
A Cancao do Oceano,2014,93 min,Tomm Moore,"Animation, Adventure, Drama",8.1,46417.0
A Partida,2008,130 min,Yôjirô Takita,"Drama, Music",8.1,46135.0
